Rk,Date,Series,Gm#,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen
82,2017-10-21,ALCS,7,NYY,HOU,L 0-4,32,30,0,3,1,0,0,0,2,0,11,0,0,0,0,0,0,0,-0.372,-4.370,.900,5,9,"43,201",189
83,2017-10-20,ALCS,6,HOU,NYY,W 7-1,37,31,7,8,3,0,1,7,5,0,7,0,0,1,0,0,0,0,0.121,3.117,.741,6,9,"43,179",203
84,2017-10-20,ALCS,6,NYY,HOU,L 1-7,36,33,1,7,0,0,1,1,2,0,10,1,0,0,0,1,0,0,-0.379,-3.369,.961,8,9,"43,179",203
85,2017-10-19,NLCS,5,CHC,LAD,L 1-11,32,31,1,4,0,0,1,1,1,0,10,0,0,0,0,0,0,0,-0.141,-3.792,.256,4,16,"42,735",186
86,2017-10-19,NLCS,5,LAD,CHC,W 11-1,45,43,11,16,3,1,3,11,2,0,9,0,0,0,0,0,0,0,0.359,6.208,.344,7,14,"42,735",186
87,2017-10-18,NLCS,4,CHC,LAD,W 3-2,30,29,3,5,0,0,3,3,0,0,11,1,0,0,0,0,0,0,-0.010,-1.262,.598,3,12,"42,195",195
88,2017-10-18,ALCS,5,HOU,NYY,L 0-5,33,32,0,4,2,0,0,0,1,0,9,0,0,0,1,0,0,0,-0.373,-4.946,.809,6,9,"49,647",198
89,2017-10-18,NLCS,4,LAD,CHC,L 2-3,38,29,2,4,0,0,2,2,8,0,12,1,0,0,0,2,0,0,-0.513,-2.792,1.536,9,17,"42,195",195
90,2017-10-18,ALCS,5,NYY,HOU,W 5-0,37,34,5,10,4,0,1,5,3,0,13,0,0,0,0,0,0,0,0.128,0.606,.508,8,9,"49,647",198
91,2017-10-17,NLCS,3,CHC,LAD,L 1-6,36,34,1,8,1,0,1,1,2,0,11,0,0,0,0,1,0,0,-0.339,-3.793,.822,8,18,"41,871",219
92,2017-10-17,ALCS,4,HOU,NYY,L 4-6,34,29,4,3,3,0,0,3,3,0,9,1,0,0,2,2,0,0,-0.043,-0.943,1.046,3,10,"48,804",217
93,2017-10-17,NLCS,3,LAD,CHC,W 6-1,41,35,6,9,1,1,2,5,5,0,8,0,0,1,2,1,0,1,0.161,1.207,.734,8,17,"41,871",219
94,2017-10-17,ALCS,4,NYY,HOU,W 6-4,35,29,6,8,2,1,1,6,5,1,3,0,0,1,0,1,0,1,0.456,1.605,1.361,5,12,"48,804",217
95,2017-10-16,ALCS,3,HOU,NYY,L 1-8,39,31,1,4,0,0,0,1,8,0,7,0,0,0,1,1,0,0,-0.216,-3.943,.420,11,10,"49,373",205
96,2017-10-16,ALCS,3,NYY,HOU,W 8-1,34,30,8,7,1,0,2,7,3,0,6,1,0,0,0,0,0,0,0.284,3.604,.413,2,9,"49,373",205
97,2017-10-15,NLCS,2,CHC,LAD,L 1-4,32,30,1,3,0,0,1,1,1,0,12,1,0,0,0,0,1,0,-0.528,-3.461,1.216,4,15,"54,479",200
98,2017-10-15,NLCS,2,LAD,CHC,W 4-1,38,27,4,5,2,0,1,4,9,1,6,0,2,0,0,1,0,1,-0.027,-0.356,1.609,8,17,"54,479",200
99,2017-10-14,NLCS,1,CHC,LAD,L 2-5,32,30,2,4,0,0,1,2,1,0,9,0,1,0,0,0,0,0,-0.242,-2.459,.911,3,14,"54,289",204
100,2017-10-14,ALCS,2,HOU,NYY,W 2-1,31,28,2,5,2,0,1,2,3,0,4,0,0,0,0,2,0,0,-0.033,-1.700,1.173,4,9,"43,193",180
Rk,Date,Series,Gm#,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen
101,2017-10-14,NLCS,1,LAD,CHC,W 5-2,34,29,5,8,2,0,2,5,4,0,6,0,0,1,0,2,1,0,0.259,1.037,.892,5,17,"54,289",204
102,2017-10-14,ALCS,2,NYY,HOU,L 1-2,32,31,1,5,3,0,0,1,1,0,13,0,0,0,0,0,0,0,-0.533,-3.369,1.187,4,9,"43,193",180
103,2017-10-13,ALCS,1,HOU,NYY,W 2-1,31,30,2,6,0,0,0,2,1,0,5,0,0,0,0,0,1,0,-0.046,-1.884,.673,5,9,"43,116",200
104,2017-10-13,ALCS,1,NYY,HOU,L 1-2,35,32,1,5,0,0,1,1,3,0,14,0,0,0,1,0,0,0,-0.548,-3.369,1.177,7,12,"43,116",200
105,2017-10-12,NLDS,5,CHC,WSN,W 9-8,45,37,9,9,4,0,0,7,6,1,9,1,0,0,0,0,0,0,0.528,4.259,1.028,9,19,"43,849",277
106,2017-10-12,NLDS,5,WSN,CHC,L 8-9,48,38,8,14,3,0,2,7,9,2,12,0,0,1,0,1,1,0,0.028,3.260,1.597,13,19,"43,849",277
107,2017-10-11,NLDS,4,CHC,WSN,L 0-5,33,29,0,3,1,0,0,0,3,0,14,1,0,0,0,1,0,0,-0.532,-4.792,.945,6,15,"42,264",237
108,2017-10-11,ALDS,5,CLE,NYY,L 2-5,33,31,2,5,0,0,0,2,2,0,15,0,0,0,0,1,0,0,-0.487,-3.134,1.269,4,9,"37,802",218
109,2017-10-11,ALDS,5,NYY,CLE,W 5-2,38,34,5,8,0,0,2,4,3,0,16,0,0,0,0,0,0,1,0.013,-0.134,.773,6,10,"37,802",218
110,2017-10-11,NLDS,4,WSN,CHC,W 5-0,42,32,5,5,2,0,1,4,9,0,7,0,1,0,2,0,1,0,-0.033,0.209,.979,10,14,"42,264",237
111,2017-10-09,NLDS,3,ARI,LAD,L 1-3,30,29,1,3,0,0,1,1,0,0,11,1,0,0,0,1,0,0,-0.560,-3.986,1.110,2,16,"48,641",216
112,2017-10-09,ALDS,4,BOS,HOU,L 4-5,37,33,4,9,1,0,3,4,4,0,7,0,0,0,0,1,1,0,-0.281,-1.084,1.360,6,9,"37,305",247
113,2017-10-09,NLDS,3,CHC,WSN,W 2-1,30,24,2,4,1,0,0,2,4,0,8,1,1,0,0,1,0,0,-0.028,-2.259,1.503,4,16,"42,445",189
114,2017-10-09,ALDS,4,CLE,NYY,L 3-7,34,31,3,4,0,0,2,3,3,0,14,0,0,0,0,0,0,0,-0.187,-1.944,.678,4,12,"47,316",227
115,2017-10-09,ALDS,4,HOU,BOS,W 5-4,45,39,5,12,3,1,1,4,4,0,11,2,0,0,1,1,0,0,0.221,-0.083,1.379,13,11,"37,305",247
116,2017-10-09,NLDS,3,LAD,ARI,W 3-1,40,32,3,7,2,0,2,3,7,0,6,0,1,0,0,0,0,0,-0.060,-1.985,.880,10,15,"48,641",216
117,2017-10-09,ALDS,4,NYY,CLE,W 7-3,42,35,7,8,3,0,1,6,6,1,11,0,0,1,4,0,1,0,0.313,2.605,.572,11,9,"47,316",227
118,2017-10-09,NLDS,3,WSN,CHC,L 1-2,33,32,1,3,1,0,0,1,1,0,9,0,0,0,2,0,0,0,-0.529,-3.793,1.146,5,12,"42,445",189
119,2017-10-08,ALDS,3,BOS,HOU,W 10-3,41,38,10,15,2,0,2,10,3,0,9,0,0,0,0,1,0,0,0.315,5.483,.954,7,9,"38,010",218
